file,top_document_tfidf_score,2012,heart,beats,kony,we,descents,are,first,education,experiment
A-sponsored-childs-dreams---World-Vision-Australia,0.5,0,0,0,0,0,0,0,0,0,0
Bill-Gates-ALS-Ice-Bucket-Challenge,0.5,0,0,0,0,0,0,0,0,0,0
DEC---Africa-Famine-Appeal-2017,0.5773502691896258,0,0,0,0,0,0,0,0,0,0
From-child-to-bride-to-mother-in-Nepal--Radhikas-story,0.44721359549995787,0,0,0,0,0,0,0,0,0,0
HOW-FAR-ILL-GO---DISNEYS-MOANA---LIVE-PERFORMANCE-BY-4-YEAR-OLD-CLAIRE-RYANN-AT-CHARITY,0.2773500981126146,0,0,0,0,0,0,0,0,0,0
Heart-Beats,0.0,0,1,1,0,0,0,0,0,0,0
KONY-2012,0.0,1,0,0,1,0,0,0,0,0,0
Lilly-Singh-Supports-Girls-Education,0.5773502691896258,0,0,0,0,0,0,0,0,1,0
Look-Beyond-Borders---4-minutes-experiment,0.5773502691896258,0,0,0,0,0,0,0,0,0,1
Rachel-Beckwiths-Last-Wish-Brings-37700-Clean-Water,0.408248290463863,0,0,0,0,0,0,0,0,0,0
Stephen-Colbert--John-Oliver-Take-Over-The-Stage---Night-Of-Too-Many-Stars---HBO,0.30151134457776363,0,0,0,0,0,0,0,0,0,0
Tom-Hardy-Appeals-For-You-To-Donate-To-Yemen-Crisis,0.408248290463863,0,0,0,0,0,0,0,0,0,0
We-Are-First-Descents,0.7071067811865476,0,0,0,0,1,1,1,1,0,0
